equipment_name,equipment_type,flowrate,pressure,temperature
Pump-001,Pump,120.5,5.2,310
Pump-002,Pump,115.3,5.0,308
Pump-003,Pump,125.8,5.4,312
Reactor-A,Reactor,85.2,8.5,350
Reactor-B,Reactor,90.1,8.7,355
Reactor-C,Reactor,88.5,8.6,352
Heater-01,Heater,200.0,3.2,400
Heater-02,Heater,195.5,3.1,395
Heater-03,Heater,205.2,3.3,405
Pump-004,Pump,118.7,5.1,309
Pump-005,Pump,122.3,5.3,311
Reactor-D,Reactor,87.8,8.4,348
Heater-04,Heater,198.5,3.2,398
Pump-006,Pump,119.2,5.2,310
Reactor-E,Reactor,89.3,8.5,351
Heater-05,Heater,202.1,3.25,402
Pump-007,Pump,121.5,5.25,310
Reactor-F,Reactor,86.9,8.3,347
Heater-06,Heater,199.8,3.15,399
Pump-008,Pump,117.9,5.0,307
Pump-009,Pump,123.6,5.4,313
Reactor-G,Reactor,91.2,8.8,356
Reactor-H,Reactor,88.1,8.5,350
Reactor-I,Reactor,87.5,8.4,349
Pump-010,Pump,120.0,5.2,310
